Date,Price
2024-01-01,42150.50
2024-01-02,43200.75
2024-01-03,42800.25
2024-01-04,43010.40
2024-01-05,43525.90
2024-01-06,43980.20
2024-01-07,44210.75
2024-01-08,43895.30
2024-01-09,44560.10
2024-01-10,44825.90
2024-01-11,45210.35
2024-01-12,44980.60
2024-01-13,45475.25
2024-01-14,45820.90
2024-01-15,46210.40
2024-01-16,45995.80
2024-01-17,46530.25
2024-01-18,46985.70
2024-01-19,47210.55
2024-01-20,46895.20
2024-01-21,47450.80
2024-01-22,47810.35
2024-01-23,48225.60
2024-01-24,47990.10
2024-01-25,48575.45
2024-01-26,48920.30
2024-01-27,49280.75
2024-01-28,48895.40
2024-01-29,49560.85
2024-01-30,49925.10
